AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,EQDIASQ,SOLIDITY,CONVEX_AREA,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_3,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,ALLdaub4RR,ALLdaub4RG,ALLdaub4RB,Class
422163,2378.908,837.8484,645.6693,0.6373,733.1539,0.9947,424428,0.7831,1.2976,0.9374,0.875,0.002,0.0015,0.7657,0.9936,117.4466,109.9085,95.6774,26.5152,23.0687,30.123,-0.5661,-0.0114,0.6019,3.237,2.9574,4.2287,-59191263232,-50714214400,-39922372608,58.7255,54.9554,47.84,BERHI
338136,2085.144,723.8198,595.2073,0.569,656.1464,0.9974,339014,0.7795,1.2161,0.9773,0.9065,0.0021,0.0018,0.8218,0.9993,100.0578,105.6314,95.661,27.2656,23.4952,28.1229,-0.2328,0.1349,0.4134,2.6228,2.635,3.1704,-34233065472,-37462601728,-31477794816,50.0259,52.8168,47.8315,BERHI
526843,2647.394,940.7379,715.3638,0.6494,819.0222,0.9962,528876,0.7657,1.315,0.9446,0.8706,0.0018,0.0014,0.758,0.9968,130.9558,118.5703,103.875,29.7036,24.6216,33.9053,-0.7152,-0.1059,0.9183,3.7516,3.8611,4.7192,-93948354560,-74738221056,-60311207936,65.4772,59.286,51.9378,BERHI
416063,2351.21,827.9804,645.2988,0.6266,727.8378,0.9948,418255,0.7759,1.2831,0.9458,0.8791,0.002,0.0016,0.7727,0.9915,86.7798,88.2531,82.3751,28.7288,24.4905,30.3955,0.4584,1.2917,1.8028,5.0401,8.6136,8.2618,-32074307584,-32060925952,-29575010304,43.39,44.1259,41.1882,BERHI
347562,2160.354,763.9877,582.8359,0.6465,665.2291,0.9908,350797,0.7569,1.3108,0.9358,0.8707,0.0022,0.0017,0.7582,0.9938,105.5484,101.8132,85.3342,30.3205,25.0291,27.1741,-0.3552,0.2101,0.8865,2.7016,2.9761,4.4146,-39980974080,-35980042240,-25593278464,52.7743,50.908,42.6666,BERHI
408953,2326.6931,840.1821,622.0076,0.6722,721.5921,0.9974,410036,0.7805,1.3508,0.9493,0.8589,0.0021,0.0015,0.7376,0.9964,99.398,90.6346,79.4735,28.2568,24.0417,32.7977,0.1189,0.94,1.5571,3.6309,6.0285,6.2159,-41140371456,-33146710016,-27907301376,49.7001,45.319,39.7371,BERHI
451414,2457.208,889.3253,652.4316,0.6796,758.1281,0.997,452755,0.7877,1.3631,0.9395,0.8525,0.002,0.0014,0.7267,0.9906,115.6213,117.0903,104.8433,33.6642,29.9951,33.8446,0.0606,0.453,0.9431,3.0703,3.4163,4.9168,-63711666176,-64060743680,-52603465728,57.806,58.5449,52.4199,BERHI
382636,2275.7791,808.0833,609.2819,0.6569,697.988,0.9931,385277,0.7032,1.3263,0.9284,0.8638,0.0021,0.0016,0.7461,0.9895,90.3542,96.4854,94.4357,19.5037,14.7487,20.7736,-0.3332,0.9453,0.9929,3.6756,7.0258,5.3254,-29873577984,-33570080768,-33054025728,45.1768,48.2407,47.2167,BERHI
546063,2714.948,916.3737,766.4536,0.5481,833.8279,0.9882,552598,0.771,1.1956,0.931,0.9099,0.0017,0.0014,0.828,0.9899,129.2436,119.8232,111.302,30.9497,25.0161,29.2699,-0.7543,-0.2394,0.3154,3.464,3.7416,4.812,-95262416896,-79321833472,-69569445888,64.6188,59.9127,55.6509,BERHI
420044,2391.123,836.928,645.1822,0.637,731.3116,0.9918,423531,0.7853,1.2972,0.9232,0.8738,0.002,0.0015,0.7635,0.9905,129.8143,116.5492,96.9639,32.045,27.1177,35.4221,-0.3274,0.3495,1.1912,3.3729,4.2898,5.4637,-74341122048,-58172182528,-42640556032,64.9094,58.2771,48.482,BERHI
364495,2216.49,790.9014,590.7698,0.6649,681.2411,0.9949,366374,0.7658,1.3388,0.9323,0.8613,0.0022,0.0016,0.7419,0.9933,105.4613,105.9778,100.6237,29.5623,23.7637,28.052,-0.0081,0.5351,0.9283,3.0514,4.3653,6.0898,-41679380480,-40727969792,-37574615040,52.7269,52.9888,50.3108,BERHI
404243,2345.5349,823.7634,628.8527,0.6459,717.4247,0.9921,407460,0.7808,1.3099,0.9234,0.8709,0.002,0.0016,0.7585,0.9936,105.63,96.1584,86.9584,30.4008,25.0384,33.196,-0.1935,0.7059,1.639,3.0224,4.7019,6.4561,-46608568320,-37227855872,-32751931392,52.8144,48.0792,43.4777,BERHI
407789,2308.4099,788.727,664.5451,0.5386,720.5644,0.9958,409514,0.7594,1.1869,0.9617,0.9136,0.0019,0.0016,0.8346,0.9906,90.3188,95.0177,90.7037,28.864,26.5093,32.6899,-0.2364,0.2399,1.0781,3.4429,4.0735,5.477,-34002647040,-37003776000,-35555409920,45.1644,47.5129,45.3586,BERHI
340451,2098.1631,724.4111,600.3284,0.5597,658.3887,0.9971,341437,0.7813,1.2067,0.9718,0.9089,0.0021,0.0018,0.826,0.9968,107.3958,100.5165,82.5208,29.4969,26.4651,32.049,-0.1721,0.4735,1.1704,2.4762,2.7434,4.2934,-40366313472,-34643922944,-24675141632,53.6975,50.2603,41.2631,BERHI
467092,2514.2429,895.3616,669.6182,0.6638,771.1809,0.9946,469638,0.8036,1.3371,0.9285,0.8613,0.0019,0.0014,0.7418,0.9919,116.698,111.3074,102.0873,27.5854,21.492,28.8131,-0.3528,0.719,1.3183,3.8104,5.5369,6.9144,-64968630272,-57233813504,-49857560576,58.3478,55.6551,51.0455,BERHI
386374,2265.666,826.3535,597.2911,0.6911,701.3891,0.9968,387604,0.7588,1.3835,0.9459,0.8488,0.0021,0.0015,0.7204,0.9967,99.8192,106.3491,101.617,32.2198,25.3255,29.0465,-0.1377,0.188,0.3186,2.1798,2.8977,3.0467,-40311578624,-43843469312,-40872857600,49.9096,53.1752,50.8095,BERHI
413069,2350.4109,821.2114,645.8047,0.6177,725.2143,0.9917,416536,0.7485,1.2716,0.9396,0.8831,0.002,0.0016,0.7799,0.9917,88.371,90.0463,90.8947,24.8495,21.8226,27.3544,-0.0759,0.5432,0.8528,3.3222,4.7191,4.9055,-31950346240,-32516476928,-34531393536,44.1851,45.0251,45.4492,BERHI
396792,2291.0701,790.0845,644.6891,0.5781,710.7822,0.9967,398109,0.7372,1.2255,0.9499,0.8996,0.002,0.0016,0.8093,0.9919,81.6156,84.7888,79.4964,26.3822,21.5915,24.545,0.3848,0.8481,1.5564,2.8394,4.4264,8.612,-26540476416,-27549376512,-24806567936,40.8092,42.3958,39.7497,BERHI
358545,2199.5081,775.7432,593.731,0.6436,675.658,0.9911,361776,0.7306,1.3066,0.9313,0.871,0.0022,0.0017,0.7586,0.9912,100.5985,97.7526,89.3394,29.3907,24.3398,31.7931,0.2079,0.8914,1.4118,3.6705,4.9932,6.3766,-37246021632,-34006181888,-30142908416,50.299,48.8788,44.6721,BERHI
397744,2337.2251,869.5142,583.949,0.7409,711.6343,0.9947,399862,0.7648,1.489,0.915,0.8184,0.0022,0.0015,0.6698,0.9974,105.2555,96.5672,88.748,28.2044,23.9602,27.9397,-0.22,0.687,1.5829,3.8692,4.9534,8.6139,-44905246720,-36690874368,-31894280192,52.6268,48.2847,44.3745,BERHI
398901,2299.335,812.7031,628.3113,0.6343,712.6686,0.9965,400295,0.762,1.2935,0.9481,0.8769,0.002,0.0016,0.769,0.9946,100.181,88.5341,72.0686,28.2873,23.5257,26.8773,-0.147,0.7243,2.1832,3.6803,5.9162,11.1715,-40761634816,-30694897664,-21165287424,50.0894,44.2666,36.0346,BERHI
342155,2151.896,760.6585,575.3604,0.6541,660.0343,0.9904,345474,0.7727,1.3221,0.9285,0.8677,0.0022,0.0017,0.7529,0.9954,105.6745,106.2353,75.9821,30.1014,25.4367,24.7162,-0.2484,0.2164,1.9556,2.9202,3.7653,11.1414,-39405760512,-38763913216,-19608967168,52.8384,53.1181,37.9925,BERHI
